"Date","Amazon.River"
1931-01-01,31270
1931-02-01,43827
1931-03-01,49884
1931-04-01,43962
1931-05-01,35156
1931-06-01,25764
1931-07-01,18109
1931-08-01,13320
1931-09-01,8225
1931-10-01,8900
1931-11-01,13766
1931-12-01,20880
1932-01-01,33160
1932-02-01,39791
1932-03-01,48274
1932-04-01,45604
1932-05-01,38578
1932-06-01,29111
1932-07-01,21390
1932-08-01,12128
1932-09-01,6763
1932-10-01,7401
1932-11-01,18222
1932-12-01,27918
1933-01-01,36329
1933-02-01,45715
1933-03-01,49776
1933-04-01,53821
1933-05-01,41418
1933-06-01,26486
1933-07-01,14022
1933-08-01,7595
1933-09-01,5530
1933-10-01,9445
1933-11-01,9375
1933-12-01,16806
1934-01-01,25239
1934-02-01,40503
1934-03-01,44913
1934-04-01,45356
1934-05-01,35111
1934-06-01,26370
1934-07-01,20012
1934-08-01,10434
1934-09-01,4687
1934-10-01,5310
1934-11-01,11959
1934-12-01,34043
1935-01-01,42189
1935-02-01,49476
1935-03-01,50502
1935-04-01,46586
1935-05-01,29405
1935-06-01,22169
1935-07-01,14909
1935-08-01,11234
1935-09-01,7555
1935-10-01,8206
1935-11-01,10985
1935-12-01,16850
1936-01-01,26190
1936-02-01,32822
1936-03-01,31995
1936-04-01,29034
1936-05-01,25887
1936-06-01,22486
1936-07-01,13137
1936-08-01,7556
1936-09-01,6106
1936-10-01,6177
1936-11-01,6950
1936-12-01,16654
1937-01-01,33902
1937-02-01,40777
1937-03-01,50936
1937-04-01,47561
1937-05-01,30494
1937-06-01,19004
1937-07-01,14333
1937-08-01,8465
1937-09-01,6781
1937-10-01,8094
1937-11-01,10059
1937-12-01,12026
1938-01-01,21011
1938-02-01,31748
1938-03-01,33576
1938-04-01,30698
1938-05-01,23528
1938-06-01,13872
1938-07-01,10491
1938-08-01,5490
1938-09-01,3635
1938-10-01,4763
1938-11-01,7456
1938-12-01,10985
1939-01-01,17746
1939-02-01,25489
1939-03-01,31942
1939-04-01,35918
1939-05-01,24789
1939-06-01,11898
1939-07-01,6436
1939-08-01,4149
1939-09-01,2505
1939-10-01,5164
1939-11-01,7726
1939-12-01,17943
1940-01-01,28519
1940-02-01,33502
1940-03-01,40638
1940-04-01,37546
1940-05-01,30350
1940-06-01,24917
1940-07-01,20356
1940-08-01,19034
1940-09-01,16681
1940-10-01,9842
1940-11-01,14002
1940-12-01,21041
1941-01-01,21623
1941-02-01,33152
1941-03-01,51180
1941-04-01,47786
1941-05-01,39419
1941-06-01,26823
1941-07-01,17026
1941-08-01,13442
1941-09-01,11632
1941-10-01,14352
1941-11-01,17638
1941-12-01,23417
1942-01-01,27441
1942-02-01,42441
1942-03-01,43420
1942-04-01,43570
1942-05-01,39155
1942-06-01,34414
1942-07-01,22925
1942-08-01,14421
